CODE,en
NAME,English
FIF_DESC,Find and organize your assets
FIF_SET_DM,Disable debug message logging
FIF_SET_DMTP,"If checked, debug messages won't be logged."
FIF_SET_CMT,Center the main toolbar
FIF_SET_CMTTP,The main toolbar will be centered if it exceed a certain length.
FIF_SET_UL,Unlock all
FIF_SET_ULTP,Let you select and place items even when locked.
FIF_SET_BP,Fix bad props next loaded save
FIF_SET_BPTP,Remove all props causing issue. Check the option and load your save
FIF_SE_WF,Custom
FIF_SE_VF,Vanilla
FIF_SE_IA,All
FIF_SE_IN,Network
FIF_SE_IP,Ploppable
FIF_SE_IG,Growable
FIF_SE_IR,RICO
FIF_SE_IPR,Prop
FIF_SE_ID,Decal
FIF_SE_IT,Tree
FIF_SE_LV,Building Level
FIF_SE_SZ,Size: 
FIF_SE_SC,Hold SHIFT or CTRL to select multiple categories
FIF_PLOP_E,Electricity
FIF_PLOP_W,Water/Sewage
FIF_PLOP_G,Garbage
FIF_PLOP_H,Healthcare
FIF_PLOP_F,Fire Department
FIF_PLOP_P,Police
FIF_PLOP_ED,Education
FIF_PLOP_PT,Public Transportation
FIF_PLOP_PPW,Park/Plaza/Wildlife
FIF_PLOP_U,Unique Buildings
FIF_PLOP_I,Industry
FIF_PLOP_D,Disaster
FIF_PLOP_C,Campus
FIF_PLOP_V,Varsity Sports
FIF_PLOP_FI,Fishing
FIF_GR_LDR,Low Density Residential
FIF_GR_HDR,High Density Residential
FIF_GR_LDRE,Low Density Residential ECO
FIF_GR_HDRE,High Density Residential ECO
FIF_GR_LDC,Low Density Commercial
FIF_GR_HDC,High Density Commercial
FIF_GR_CE,Commercial ECO
FIF_GR_O,Office
FIF_GR_ITC,IT Cluster
FIF_GR_GI,Generic Industry
FIF_GR_FAI,Farming Industry
FIF_GR_FOI,Forest Industry
FIF_GR_OII,Oil Industry
FIF_GR_ORI,Ore Industry
FIF_GR_LC,Leisure Commercial
FIF_GR_TC,Tourism Commercial
FIF_SO_RETP,Sort by relevance. Same as original Find It
FIF_SO_NETP,Sort by most recently downloaded
FIF_SO_RE,Relevance
FIF_SO_NE,Recent DLs
TRN_CHOICE,Set language(restart required)
TRN_SYS,Use system language
FIF_PROP_IND,Industrial
FIF_PROP_PAR,Parks
FIF_PROP_COM,Common
FIF_PROP_RES,Residential
FIF_PROP_BIL,Billboards
FIF_PROP_SPE,Special Billboards
FIF_PROP_LIG,Lights
FIF_PROP_NAT,Natural
FIF_PROP_UNS,Unsorted
FIF_SET_KS,Main Keyboard Shortcut
FIF_SE_IGR,Grwb/RICO
FIF_SET_CTFL,Custom Tags File Location (Remember to back up this file periodically)
FIF_SET_CTFOP,Show in File Explorer
FIF_SE_SCTP,Show custom tag panel
FIF_POP_SCR,Use mouse wheel to scroll up/down
FIF_POP_CON,Confirm
FIF_POP_CAN,Cancel
FIF_POP_NU,This cannot be undone.
FIF_CO_TIT,Merge
FIF_CO_MSG,Choose an existing tag to merge with.
FIF_CO_CH,Choose
FIF_CO_CHTP,Merge with this existing tag
FIF_CO_CHLBL,Merge with: 
FIF_CO_NELBL,Please choose an existing tag
FIF_DE_TIT,Delete
FIF_DE_MSG,Are you sure you want to delete this tag?
FIF_RE_TIT,Rename
FIF_RE_MSG,Type a new tag name and press Enter.
FIF_RE_ITP,Press enter to submit new tag name
FIF_RE_ELBL,Please enter a new tag name
FIF_RE_NEWLBL,New Tag Name: 
FIF_RE_SLBL,This tag name is too short
FIF_RE_AELBL,This tag already exists
FIF_CT_TIT,Custom Tags
FIF_CT_DDMSG,Add an existing tag to this asset:
FIF_CT_DDTP,Add an existing tag to this asset
FIF_CT_ILBL1,Or
FIF_CT_ILBL2,Type a new tag name and press Enter:
FIF_CT_ITP,Press enter to add new tag(s)
FIF_SET_CTLS,Sort custom tag list alphabetically
FIF_TAG_DDTP,Only show assets with this tag
FIF_TAG_REF,Refresh
FIF_TAG_REFTP,Refresh custom tag drop-down list
FIF_TAG_REN,Rename
FIF_TAG_RENTP,Rename this tag
FIF_TAG_COM,Merge
FIF_TAG_COMTP,Merge this tag with another tag
FIF_TAG_DEL,Delete
FIF_TAG_DELTP,Delete this tag
FIF_UIS_WS,Right click to view this asset on Steam Workshop
FIF_TREE_SM,Small Trees
FIF_TREE_MD,Medium Trees
FIF_TREE_LG,Large Trees
FIF_TAG_BAT,Batch
FIF_TAG_BAC,Back
FIF_TAG_ADD,Add
FIF_TAG_ADDTP,Add a tag to selected assets
FIF_TAG_REM,Remove
FIF_TAG_REMTP,Remove a tag from selected assets
FIF_TAG_CLE,Clear
FIF_TAG_CLETP,Clear selection
FIF_ADD_TIT,Batch Add
FIF_ADD_NUM,Number of selected assets:
FIF_ADD_ADD,Add an existing tag to selected assets:
FIF_ADD_CHTP,Add this existing tag
FIF_ADD_TAG,Tag:
FIF_ADD_ELBL,Enter a new tag or choose an existing tag
FIF_REM_TIT,Batch Remove
FIF_REM_REM,Remove a tag from selected assets:
FIF_REM_CHTP,Remove this tag
FIF_REM_ELBL,Choose a tag
FIF_SE_EFI,Show extra filters panel
FIF_EF_AC,Asset Creator
FIF_EF_BH,Building Height
FIF_EF_MET,m
FIF_EF_FEE,ft
FIF_SET_ACLS,Sort asset creator list alphabetically
FIF_GR_RAN,Random Selection
FIF_NET_SMR,Small Roads
FIF_NET_MDR,Medium Roads
FIF_NET_LGR,Large Roads
FIF_NET_HGHW,Highways
FIF_NET_PATH,Paths
FIF_NET_WALL,Walls and Fences
FIF_NET_WAT,Water Structures
FIF_PROP_MAR,Editor Markers
FIF_NET_TNR,Tiny Roads
FIF_NET_UTI,Utility
FIF_NET_TRA,Train
FIF_SET_PM,Show marker type props in game mode
FIF_SET_PMTP,Marker type props are invisible and most don't work in game mode. Use Move It to delete them.
FIF_SET_IC,Show the number of existing instances of each asset
FIF_EF_UN,Unused Assets
FIF_QM_TIT,Quick Menu
FIF_UIS_UN,Unused
FIF_UIS_IN,In Use
FIF_SET_ICTP,This option slightly slows down search speed. Disable it when it is not needed
FIF_SET_PO,Include Procedural Objects
FIF_SET_ICO,Use original sorting option
FIF_SET_ICUS,Show used assets on top
FIF_SET_ICUN,Show unused assets on top
FIF_TAG_BATTP,Batch Editing
FIF_SE_SEBTP,Clear the search box
FIF_SET_DB,Use system default browser instead of Steam overlay
FIF_SET_DBTP,Right click the Steam icon on an asset thumbnail to view the asset on Steam workshop
FIF_NET_ONE,One-way Roads
FIF_NET_PAR,Allow Street Parking
FIF_NET_NOP,No Street Parking
FIF_PROP_VEH,Unsorted Vehicle
FIF_PROP_TRE,Tree
FIF_SET_BACK,Use light background color for the main panel
FIF_SET_BACKTP,"Easier to see darker assets, but harder to see brighter assets"
FIF_SET_DUN,Disable future update notice
FIF_PROP_MOT,Motor Vehicle
FIF_PROP_RAI,Railway Vehicle
FIF_PROP_AIR,Aircraft
FIF_PROP_WAT,Watercraft
FIF_EF_SB,Sub-buildings
FIF_ATP_TP,Right-click to drag and move this panel
FIF_SET_ATP,Show asset type panel
FIF_EF_CT,With Custom Tag
FIF_EF_NCT,Without Custom Tag
FIF_UPN_UP,Update
FIF_PROP_TC,Terrain Conforming
FIF_PROP_NTC,Non-Terrain Conforming
FIF_SET_SSK,Use separate search query keyword for each asset type
FIF_SET_SSKTP,Hold SHIFT when switching asset type to share query keyword temporarily
FIF_TAG_SA,Select All
FIF_TAG_SATP,Select all displayed items
FIF_EF_UNEXP,Export All
FIF_EF_UNEXPTP,Export the list of all unused workshop ID's into an HTML file with workshop links
FIF_EF_UNEXPSE,Export Searched
FIF_EF_UNEXPTPSE,Export the list of unused workshop ID's from the last search into an HTML file with workshop links
FIF_EF_LC,Local Custom
FIF_EF_WC,Workshop Custom
FIF_EF_DLC,Require DLC/CCP
FIF_LOC_TOOL,Click to locate next instance of the selected asset. Hold SHIFT and click to locate the next PO instance.
FIF_REF_DIS,Refresh display
FIF_EF_US,Used Assets
FIF_EF_USEXPTP,Export the list of all used workshop ID's into an HTML file with workshop links
FIF_EF_USEXPTPSE,Export the list of used workshop ID's from the last search into an HTML file with workshop links
FIF_SE_SIZEX,Click this x to reset the building size filters
FIF_SET_UIVP,Disable Find It 2's extra UI on vanilla panels(restart required)
FIF_SET_UIVPTP,"Including: custom tag icons, steam icons, and DLC icons"
FIF_DOU_MESH,View in Mesh Info
FIF_DOU_MESHNO,Mesh Info mod not installed or enabled
FIF_DOU_MESHTYPE,Mesh Info mod only supports custom non-network assets
FIF_DOU_MESHOPEN,See this asset in Mesh Info mod
FIF_DOU_RICO,View in RICO Revisited
FIF_DOU_RICONO,Ploppable RICO Revisited mod not installed or enabled
FIF_DOU_RICOTYPE,Ploppable RICO Revisited mod only supports building assets
FIF_DOU_RICOOPEN,See this asset in Ploppable RICO Revisited mod
FIF_DOU_FOLD,Open File Folder
FIF_DOU_FOLDCUS,This feature only works with custom assets
FIF_DOU_FOLDOPEN,Open the parent folder of this asset
FIF_UIS_CNWS,Custom non-workshop asset
FIF_NET_BUS,Bus Lanes
FIF_NET_TRO,Trolley Bus Lanes
FIF_NET_BIK,Bike Lanes
FIF_NET_TRM,Tram Tracks
FIF_NET_MET,Metro
FIF_SET_REC,Recent DLs sorting method(restart required)
FIF_SET_RECPC,Parent folder creation time
FIF_SET_RECPM,Parent folder modification time
FIF_SET_RECFC,CRP file creation time
FIF_SET_RECFM,CRP file modificaiton time
FIF_SET_DIS,Disable instant text search. Press ENTER to submit a new text search
FIF_SET_DISTP,Use this option to reduce UI lag when typing in the search box
FIF_SET_STAB,Show search tabs
FIF_STAB_NTAB,New tab
FIF_SET_DSK,Disable secondary keyboard shortcuts when Find It panel is closed
FIF_SET_DSKTP,Avoid conflicts with TM:PE. Only the main keyboard shortcut will remain functional when Find It panel is closed
FIF_SET_CFFL,Configuration File Location
FIF_DOU_WS,Steam Workshop page
FIF_DOU_WS_STEAM,via Steam
FIF_DOU_WS_BROWSER,via default browser
FIF_DOU_WS_NOID,This feature only works with custom assets with Steam Workshop IDs
FIF_DOU_WS_STEAMTP,See this asset on Steam Workshop in Steam overlay
FIF_DOU_WS_BROWSERTP,See this asset on Steam Workshop in default browser
FIF_SET_RES_PANEL,Reset Find It panel when it is closed
FIF_SET_RES_PANELTP,Reset all options in Find It when you close the panel
FIF_SE_ICONTP,Export search results
FIF_EXPORT_SEARCH,This will export the search results into an HTML file
FIF_EF_DS,District Style
FIF_SET_CHA,Allow asset creators to hide dependency assets from search results
FIF_SET_CHATP,assets with creator_hidden in their description will be excluded from future search results
FIF_GR_RW2W,Residential Wall-to-Wall
FIF_GR_CW2W,Commercial Wall-to-Wall
FIF_GR_OW2W,Office Wall-to-Wall
FIF_NET_ZPATH,Zonable Paths
FIF_PLOP_SP,Service Points
