"CODE","id"
"NAME","Bahasa"
"FIF_DESC","Cari dan kelompokan asetmu"
"FIF_SET_DM","Nonaktifkan pesan debug logging"
"FIF_SET_DMTP","Jika dicentang, pesan debug tidak akan dicatat"
"FIF_SET_CMT","Pusatkan toolbar utama"
"FIF_SET_CMTTP","Toolbar utama akan dipusatkan jika melebihi panjang tertentu"
"FIF_SET_UL","Buka semua"
"FIF_SET_ULTP","Biarkan kamu memilih dan menempatkan item bahkan ketika terkunci"
"FIF_SET_BP","Perbaiki prop cacat saat memuat penyimpanan selanjutnya"
"FIF_SET_BPTP","Hapus semua prop penyebab masalah. Centang opsi dan memuat penyimpananmu"
"FIF_SE_WF","Kustom"
"FIF_SE_VF","Bawaan"
"FIF_SE_IA","Semua"
"FIF_SE_IN","Jaringan"
"FIF_SE_IP","Ploppable"
"FIF_SE_IG","Growable"
"FIF_SE_IR","RICO"
"FIF_SE_IPR","Prop"
"FIF_SE_ID","Stiker"
"FIF_SE_IT","Pohon"
"FIF_SE_LV","Tingkat Bangunan"
"FIF_SE_SZ","Ukuran"
"FIF_SE_SC","Tekan SHIFT atau CTRL untuk memilih banyak kategori"
"FIF_PLOP_E","Listrik"
"FIF_PLOP_W","Air/Saluran Limbah"
"FIF_PLOP_G","Sampah"
"FIF_PLOP_H","Kesehatan"
"FIF_PLOP_F","Pemadam Kebakaran"
"FIF_PLOP_P","Polisi"
"FIF_PLOP_ED","Pendidikan"
"FIF_PLOP_PT","Transportasi Publik"
"FIF_PLOP_PPW","Taman/Plaza/Alam Liar"
"FIF_PLOP_U","Bangunan Unik"
"FIF_PLOP_I","Industri"
"FIF_PLOP_D","Bencana"
"FIF_PLOP_C","Kampus"
"FIF_PLOP_V","Olahraga Kampus"
"FIF_PLOP_FI","Perikanan"
"FIF_GR_LDR","Pemukiman Kelas Bawah"
"FIF_GR_HDR","Pemukiman Kelas Atas"
"FIF_GR_LDRE","Pemukiman Kelas Bawah ECO"
"FIF_GR_HDRE","Pemukiman Kelas Atas ECO"
"FIF_GR_LDC","Pertokoan Kelas Bawah"
"FIF_GR_HDC","Pertokoan Kelas Atas"
"FIF_GR_CE","Pertokoan ECO"
"FIF_GR_O","Perkantoran"
"FIF_GR_ITC","Klaster IT"
"FIF_GR_GI","Industri Umum"
"FIF_GR_FAI","Industri Pertanian"
"FIF_GR_FOI","Industri Kehutanan"
"FIF_GR_OII","Industri Minyak"
"FIF_GR_ORI","Industri Pertambangan"
"FIF_GR_LC","Bisnis Hiburan"
"FIF_GR_TC","Bisnis Pariwisata"
"FIF_SO_RETP","Memilah berdasarkan relevansi. Sama seperti Find It aslinya"
"FIF_SO_NETP","Memilah berdasarkan yang paling baru diunduh"
"FIF_SO_RE","Relevansi"
"FIF_SO_NE","DL Terkini"
"TRN_CHOICE","Atur bahasa (akan efektif di waktu berikutnya)"
"TRN_SYS","Gunakan bahasa sistem"
"FIF_PROP_IND","Industri"
"FIF_PROP_PAR","Taman"
"FIF_PROP_COM","Umum"
"FIF_PROP_RES","Pemukiman"
"FIF_PROP_BIL","Papan Iklan"
"FIF_PROP_SPE","Papan Iklan Khusus"
"FIF_PROP_LIG","Lampu"
"FIF_PROP_NAT","Alam"
"FIF_PROP_UNS","Tidak Dipilah"
"FIF_SET_KS","Main Keyboard Shortcut"
"FIF_SE_IGR","Grwb/RICO"
"FIF_SET_CTFL","Lokasi Berkas Tag Kustom (Ingat untuk mencadangkan berkas ini secara berkala)"
"FIF_SET_CTFOP","Tunjukkan File Explorer"
"FIF_SE_SCTP","Tunjukkan Panel Tag Kustom"
"FIF_POP_SCR","Gunakan roda mouse untuk menggulir keatas/kebawah"
"FIF_POP_CON","Konfirmasi"
"FIF_POP_CAN","Batalkan"
"FIF_POP_NU","Ini tidak bisa dibatalkan"
"FIF_CO_TIT","Gabungkan"
"FIF_CO_MSG","Pilih tag yang ada untuk digabungkan dengan"
"FIF_CO_CH","Pilih"
"FIF_CO_CHTP","Gabungkan dengan tag yang ada sekarang"
"FIF_CO_CHLBL","Gabungkan dengan:"
"FIF_CO_NELBL","Tolong pilih tag yang ada"
"FIF_DE_TIT","Hapus"
"FIF_DE_MSG","Apakah kamu yakin mau menghapus tag ini?"
"FIF_RE_TIT","Ubah Nama"
"FIF_RE_MSG","Ketik nama tag baru dan tekan Enter"
"FIF_RE_ITP","Tekan Enter untuk mengajukan nama tag baru"
"FIF_RE_ELBL","Tolong masukan nama tag baru"
"FIF_RE_NEWLBL","Nama Tag Baru:"
"FIF_RE_SLBL","Nama tag ini terlalu pendek"
"FIF_RE_AELBL","Tag ini sudah ada"
"FIF_CT_TIT","Tag Kustom"
"FIF_CT_DDMSG","Tambah tag yang ada ke aset ini:"
"FIF_CT_DDTP","Tambah tag yang ada ke aset ini"
"FIF_CT_ILBL1","Atau"
"FIF_CT_ILBL2","Ketik nama tag baru dan tekan Enter:"
"FIF_CT_ITP","Tekan Enter untuk menambah tag baru"
"FIF_SET_CTLS","Memilah daftar tag kustom sesuai abjad"
"FIF_TAG_DDTP","Hanya tunjukkan aset dengan tag ini"
"FIF_TAG_REF","Segarkan"
"FIF_TAG_REFTP","Segarkan daftar drop-down tag kustom"
"FIF_TAG_REN","Ubah Nama"
"FIF_TAG_RENTP","Ubah nama tag ini"
"FIF_TAG_COM","Gabungkan"
"FIF_TAG_COMTP","Gabungkan tag ini dengan tag lainnya"
"FIF_TAG_DEL","Hapus"
"FIF_TAG_DELTP","Hapus tag ini"
"FIF_UIS_WS","Klik kanan untuk melihat aset ini pada Steam Workshop"
"FIF_TREE_SM","Pohon Kecil"
"FIF_TREE_MD","Pohon Sedang"
"FIF_TREE_LG","Pohon Besar"
"FIF_TAG_BAT","Batch"
"FIF_TAG_BAC","Kembali"
"FIF_TAG_ADD","Tambah"
"FIF_TAG_ADDTP","Tambahkan tag untuk aset yang dipilih"
"FIF_TAG_REM","Hapus"
"FIF_TAG_REMTP","Hapus tag dari aset yang dipilih"
"FIF_TAG_CLE","Bersihkan"
"FIF_TAG_CLETP","Bersihkan seleksi"
"FIF_ADD_TIT","Tambahkan Batch"
"FIF_ADD_NUM","Jumlah aset dipilih:"
"FIF_ADD_ADD","Tambahkan tag yang ada untuk aset dipilih:"
"FIF_ADD_CHTP","Tambahkan tag yang ini"
"FIF_ADD_TAG","Tag:"
"FIF_ADD_ELBL","Masukkan tag baru atau pilih tag yang ada"
"FIF_REM_TIT","Hapus Batch"
"FIF_REM_REM","Hapus tag dari aset dipilih:"
"FIF_REM_CHTP","Hapus tag ini"
"FIF_REM_ELBL","Pilih tag"
"FIF_SE_EFI","Tunjukkan panel filter tambahan"
"FIF_EF_AC","Kreator Aset"
"FIF_EF_BH","Tinggi Bangunan"
"FIF_EF_MET","meter"
"FIF_EF_FEE","kaki"
"FIF_SET_ACLS","Memilah daftar kreator aset sesuai abjad"
"FIF_GR_RAN","Seleksi Acak"
"FIF_NET_SMR","Jalan Kecil"
"FIF_NET_MDR","Jalan Sedang"
"FIF_NET_LGR","Jalan Besar"
"FIF_NET_HGHW","Jalan Tol"
"FIF_NET_PATH","Jalan Setapak"
"FIF_NET_WALL","Tembok dan Pagar"
"FIF_NET_WAT","Struktur Air"
"FIF_PROP_MAR","Penanda Editor"
"FIF_NET_TNR","Jalan Gang"
"FIF_NET_UTI","Utilitas"
"FIF_NET_TRA","Kereta"
"FIF_SET_PM","Tunjukkan tipe penanda prop dalam mode gim"
"FIF_SET_PMTP","Tipe penanda prop tak kelihatan dan kebanyakan tidak berfungsi dalam mode gim. Gunakan Move It untuk menghapus"
"FIF_SET_IC","Tunjukkan angka dari contoh tiap aset yang ada"
"FIF_EF_UN","Aset Tidak Digunakan"
"FIF_QM_TIT","Menu Cepat"
"FIF_UIS_UN","Tidak Digunakan"
"FIF_UIS_IN","Digunakan"
"FIF_SET_ICTP","Opsi ini agak memperlambat kecepatan pencarian. Nonaktifkan ketika tak dibutuhkan"
"FIF_SET_PO","Menyertakan Procedural Objects"
"FIF_SET_ICO","Gunakan opsi pemilahan asli"
"FIF_SET_ICUS","Tunjukkan aset yang digunakan lebih dulu"
"FIF_SET_ICUN","Tunjukkan aset yang tidak digunakan lebih dulu"
"FIF_TAG_BATTP","Mengedit Batch"
"FIF_SE_SEBTP","Bersihkan kotak pencarian"
"FIF_SET_DB","Gunakan sistem peramban bawaan dari pada Steam overlay"
"FIF_SET_DBTP","Klik kanan ikon Steam pada tampilan mini aset untuk melihat aset pada Steam Workshop"
"FIF_NET_ONE","Jalan Satu Lajur"
"FIF_NET_PAR","Perbolehkan Parkir Pinggir Jalan"
"FIF_NET_NOP","Dilarang Parkir Pinggir Jalan"
"FIF_PROP_VEH","Kendaraan Tidak Dipilah (dihasilkan oleh Prop Pohon dan Kendaraan)"
"FIF_PROP_TRE","Pohon (dihasilkan oleh Prop Pohon dan Kendaraan)"
"FIF_SET_BACK","Gunakan pencahayaan warna latar belakang untuk panel utama"
"FIF_SET_BACKTP","Permudah untuk melihat aset yang gelap, tapi sulit untuk melihat aset yang terang"
"FIF_SET_DUN","Nonaktifkan pemberitahuan pembaruan kedepan"
"FIF_PROP_MOT","Kendaraan Bermotor (dihasilkan oleh Prop Pohon dan Kendaraan)"
"FIF_PROP_RAI","Perkeretaapian (dihasilkan oleh Prop Pohon dan Kendaraan)"
"FIF_PROP_AIR","Transportasi Udara"
"FIF_PROP_WAT","Transportasi Air (dihasilkan oleh Prop Pohon dan Kendaraan)"
"FIF_EF_SB","Sub-Bangunan"
"FIF_ATP_TP","Right-click to drag and move this panel"
"FIF_SET_ATP","Tunjukkan panel tipe aset"
"FIF_EF_CT","Dengan tag kustom"
"FIF_EF_NCT","Tanpa tag kustom"
"FIF_UPN_UP","Perbarui"
"FIF_PROP_TC","Dapat menyesuaikan Terrain"
"FIF_PROP_NTC","Tidak dapat menyesuaikan Terrain"
"FIF_SET_SSK","Gunakan kata kunci query pencarian berbeda untuk tiap tipe aset"
"FIF_SET_SSKTP","Tahan SHIFT ketika mengalihkan tipe aset untuk membagi kata kunci query sementara"
"FIF_TAG_SA","Pilih Semua"
"FIF_TAG_SATP","Pilih semua barang yang ditampilkan"
"FIF_EF_UNEXP","Ekspor Semua"
"FIF_EF_UNEXPTP","Ekspor daftar semua ID workshop yang tidak digunakan ke dalam berkas HTML dengan link workshop"
"FIF_EF_UNEXPSE","Ekspor yang Dicari"
"FIF_EF_UNEXPTPSE","Ekspor daftar ID workshop yang tidak digunakan dari pencarian terakhir ke dalam berkas HTML dengan link workshop"
"FIF_EF_LC","Kustom Lokal"
"FIF_EF_WC","Kustom Workshop"
"FIF_EF_DLC","Perlu DLC/CCP"
"FIF_LOC_TOOL","Klik untuk menempatkan contoh aset yang dipilih berikutnya. Tahan SHIFT dan klik untuk menempatkan contoh PO berikutnya"
"FIF_REF_DIS","Segarkan Tampilan"
"FIF_EF_US","Aset yang Digunakan"
"FIF_EF_USEXPTP","Ekspor daftar semua ID workshop yang digunakan ke dalam berkas HTML dengan link workshop"
"FIF_EF_USEXPTPSE","Ekspor daftar ID workshop yang digunakan dari pencarian terakhir ke dalam berkas HTML dengan link workshop"
"FIF_SE_SIZEX","Klik x ini untuk mengatur ulang penyaringan ukuran bangunan"
"FIF_SET_UIVP","Jangan tunjukkan UI tambahan Find It 2 pada panel bawaan (perlu memulai ulang)"
"FIF_SET_UIVPTP","Termasuk: ikon tag kustom, ikon steam, dan ikon DLC"
"FIF_DOU_MESH","Lihat dalam Mesh Info"
"FIF_DOU_MESHNO","Mod Mesh Info tidak dipasang atau dinyalakan"
"FIF_DOU_MESHTYPE","Mod Mesh Info hanya mendukung aset kustom non-jaringan"
"FIF_DOU_MESHOPEN","Lihat aset ini dalam Mod Mesh Info"
"FIF_DOU_RICO","Lihat dalam RICO Revisited"
"FIF_DOU_RICONO","Mod Ploppable RICO Revisited tidak dipasang atau dinyalakan"
"FIF_DOU_RICOTYPE","Mod Ploppable RICO Revisited hanya mendukung aset bangunan"
"FIF_DOU_RICOOPEN","Lihat aset ini dalam Mod Ploppable RICO Revisited"
"FIF_DOU_FOLD","Buka Folder Berkas"
"FIF_DOU_FOLDCUS","Fitur ini hanya berfungsi dengan aset kustom"
"FIF_DOU_FOLDOPEN","Buka folder utama dari aset ini"
"FIF_UIS_CNWS","Aset Kustom Non-Workshop"
"FIF_NET_BUS","Jalur Bus"
"FIF_NET_TRO","Jalur Bus Troli"
"FIF_NET_BIK","Jalur Sepeda"
"FIF_NET_TRM","Jalur Trem"
"FIF_NET_MET","Metro"
"FIF_SET_REC","Metode pemilahan DL terkini (perlu memulai ulang)"
"FIF_SET_RECPC","Waktu pembuatan folder utama"
"FIF_SET_RECPM","Waktu modifikasi folder utama"
"FIF_SET_RECFC","Waktu pembuatan berkas CRP"
"FIF_SET_RECFM","Waktu modifikasi berkas CRP"
"FIF_SET_DIS","Nonaktifkan pencarian teks instan. Tekan ENTER untuk mengajukan pencarian teks baru"
"FIF_SET_DISTP","Gunakan opsi ini untuk mengurangi UI lag ketika mengetik di kotak pencarian"
"FIF_SET_STAB","Tunjukkan tab pencarian"
"FIF_STAB_NTAB","Tab baru"
"FIF_SET_DSK","Disable secondary keyboard shortcuts when Find It panel is closed"
"FIF_SET_DSKTP","Avoid conflicts with TM:PE. Only the main keyboard shortcut will remain functional when Find It panel is closed"
"FIF_SET_CFFL","Configuration File Location"
"FIF_DOU_WS","Steam Workshop page"
"FIF_DOU_WS_STEAM","via Steam"
"FIF_DOU_WS_BROWSER","via default browser"
"FIF_DOU_WS_NOID","This feature only works with custom assets with Steam Workshop IDs"
"FIF_DOU_WS_STEAMTP","See this asset on Steam Workshop in Steam overlay"
"FIF_DOU_WS_BROWSERTP","See this asset on Steam Workshop in default browser"
"FIF_SET_RES_PANEL","Reset Find It panel when it is closed"
"FIF_SET_RES_PANELTP","Reset all options in Find It when you close the panel"
"FIF_SE_ICONTP","Export search results"
"FIF_EXPORT_SEARCH","This will export the search results into an HTML file"
"FIF_EF_DS","District Style"
"FIF_SET_CHA","Allow asset creators to hide dependency assets from search results"
"FIF_SET_CHATP","assets with creator_hidden in their description will be excluded from future search results"
"FIF_GR_RW2W","Residential Wall-to-Wall"
"FIF_GR_CW2W","Commercial Wall-to-Wall"
"FIF_GR_OW2W","Office Wall-to-Wall"
"FIF_NET_ZPATH","Zonable Paths"
"FIF_PLOP_SP","Service Points"
