"CODE","tr"
"NAME","Türkçe"
"FIF_DESC","Varlıklarınızı bulun ve düzenleyin"
"FIF_SET_DM","Hata ayıklama ileti günlüğünü devre dışı bırak"
"FIF_SET_DMTP","İşaretlenirse hata ayıklama iletileri günlüğe kaydedilmez."
"FIF_SET_CMT","Ana araç çubuğunu ortalayın"
"FIF_SET_CMTTP","Ana araç çubuğu, belirli bir uzunluğu aşarsa ortalanır."
"FIF_SET_UL","Tümünü Aç"
"FIF_SET_ULTP","Kilitliyken bile öğeleri seçmenize ve yerleştirmenize izin verir."
"FIF_SET_BP","Bir sonraki kaydetmede kötü sahneleri düzeltir"
"FIF_SET_BPTP","Soruna neden olan tüm sahneleri kaldırın. Seçeneği işaretleyin ve kaydınızı yükleyin"
"FIF_SE_WF","Özel"
"FIF_SE_VF","Vanilla"
"FIF_SE_IA","Tümü"
"FIF_SE_IN","Ağ"
"FIF_SE_IP","Yerleştirilebilir"
"FIF_SE_IG","Yetiştirilebilir"
"FIF_SE_IR","RICO"
"FIF_SE_IPR","Destek"
"FIF_SE_ID","Çıkartma"
"FIF_SE_IT","Ağaç"
"FIF_SE_LV","Bina Seviyesi"
"FIF_SE_SZ","Boyut:"
"FIF_SE_SC","Birden fazla kategori seçmek için SHIFT veya CTRL tuşunu basılı tutun"
"FIF_PLOP_E","Elektrik"
"FIF_PLOP_W","Su/Kanalizasyon"
"FIF_PLOP_G","Çöp"
"FIF_PLOP_H","Sağlık"
"FIF_PLOP_F","İtfaiye"
"FIF_PLOP_P","Polis"
"FIF_PLOP_ED","Eğitim"
"FIF_PLOP_PT","Toplu Taşıma"
"FIF_PLOP_PPW","Park/Plaza/Vahşi Yaşam"
"FIF_PLOP_U","Eşsiz Binalar"
"FIF_PLOP_I","Endüstri"
"FIF_PLOP_D","Afet"
"FIF_PLOP_C","Kampüs"
"FIF_PLOP_V","Üniversite Sporları"
"FIF_PLOP_FI","Balıkçılık"
"FIF_GR_LDR","Düşük Yoğunluklu Konut"
"FIF_GR_HDR","Yüksek Yoğunluklu Konut"
"FIF_GR_LDRE","Düşük Yoğunluklu Konut ECO"
"FIF_GR_HDRE","Yüksek Yoğunluklu Konut ECO"
"FIF_GR_LDC","Düşük Yoğunluklu Ticari"
"FIF_GR_HDC","Yüksek Yoğunluklu Ticari"
"FIF_GR_CE","Ticari ECO"
"FIF_GR_O","Ofis"
"FIF_GR_ITC","Teknolojik Kümeler"
"FIF_GR_GI","Genel Endüstri"
"FIF_GR_FAI","Tarım Endüstrisi"
"FIF_GR_FOI","Orman Endüstrisi"
"FIF_GR_OII","Petrol Endüstrisi"
"FIF_GR_ORI","Maden Endüstrisi"
"FIF_GR_LC","Eğlence Ticareti"
"FIF_GR_TC","Turizm Ticareti"
"FIF_SO_RETP","Alaka düzeyine göre sıralayın. Orijinal Find It ile aynı"
"FIF_SO_NETP","En son indirilene göre sırala"
"FIF_SO_RE","Alaka"
"FIF_SO_NE","Son"
"TRN_CHOICE","Dili ayarla (RESTART gerekli)"
"TRN_SYS","Sistem dilini kullan"
"FIF_PROP_IND","Endüstriyel"
"FIF_PROP_PAR","Parklar"
"FIF_PROP_COM","Genel"
"FIF_PROP_RES","Konut"
"FIF_PROP_BIL","Panolar"
"FIF_PROP_SPE","Özel Panolar"
"FIF_PROP_LIG","Işıklar"
"FIF_PROP_NAT","Doğal"
"FIF_PROP_UNS","Sınıflandırılmamış"
"FIF_SET_KS","Ana Klavye Kısayolu"
"FIF_SE_IGR","Grwb/RICO"
"FIF_SET_CTFL","Özel Etiketler Dosya Konumu (Bu dosyayı düzenli aralıklarla yedeklemeyi unutmayın)"
"FIF_SET_CTFOP","Dosya Gezgini'nde Göster"
"FIF_SE_SCTP","Özel etiket panelini göster"
"FIF_POP_SCR","Yukarı/Aşağı kaydırmak için fare tekerleğini kullanın"
"FIF_POP_CON","Onayla"
"FIF_POP_CAN","İptal et"
"FIF_POP_NU","Bu geri alınamaz."
"FIF_CO_TIT","Birleştir"
"FIF_CO_MSG","Birleştirmek için mevcut bir etiket seçin."
"FIF_CO_CH","Seç"
"FIF_CO_CHTP","Bu mevcut etiketle birleştir"
"FIF_CO_CHLBL","İle birleştir: "
"FIF_CO_NELBL","Lütfen mevcut bir etiket seçin"
"FIF_DE_TIT","Sil"
"FIF_DE_MSG","Bu etiketi silmek istediğinize emin misiniz?"
"FIF_RE_TIT","Yeniden Adlandır"
"FIF_RE_MSG","Yeni bir etiket adı yazın ve Enter'a basın."
"FIF_RE_ITP","Yeni etiket adını göndermek için Enter'a basın"
"FIF_RE_ELBL","Lütfen yeni bir etiket adı girin"
"FIF_RE_NEWLBL","Yeni Etiket Adı: "
"FIF_RE_SLBL","Bu etiket adı çok kısa"
"FIF_RE_AELBL","Bu etiket zaten var"
"FIF_CT_TIT","Özel Etiketler"
"FIF_CT_DDMSG","Bu varlığa mevcut bir etiket ekleyin:"
"FIF_CT_DDTP","Bu varlığa mevcut bir etiket ekleyin"
"FIF_CT_ILBL1","Veya"
"FIF_CT_ILBL2","Yeni bir etiket adı yazın ve Enter'a basın:"
"FIF_CT_ITP","Yeni etiket(ler) eklemek için Enter'a basın"
"FIF_SET_CTLS","Özel etiket listesini alfabetik olarak sırala"
"FIF_TAG_DDTP","Yalnızca bu etikete sahip öğeleri göster"
"FIF_TAG_REF","Yenile"
"FIF_TAG_REFTP","Özel etiket açılır listesini yenile"
"FIF_TAG_REN","Yeniden Adlandır"
"FIF_TAG_RENTP","Bu etiketi yeniden adlandır"
"FIF_TAG_COM","Birleştir"
"FIF_TAG_COMTP","Bu etiketi başka bir etiketle birleştir"
"FIF_TAG_DEL","Sil"
"FIF_TAG_DELTP","Bu etiketi sil"
"FIF_UIS_WS","Bu varlığı Steam Workshop'ta görüntülemek için sağ tıklayın"
"FIF_TREE_SM","Küçük Ağaçlar"
"FIF_TREE_MD","Orta Ağaçlar"
"FIF_TREE_LG","Büyük Ağaçlar"
"FIF_TAG_BAT","Grup"
"FIF_TAG_BAC","Geri"
"FIF_TAG_ADD","Ekle"
"FIF_TAG_ADDTP","Seçili varlıklara bir etiket ekleyin"
"FIF_TAG_REM","Kaldır"
"FIF_TAG_REMTP","Seçili varlıklardan bir etiketi kaldır"
"FIF_TAG_CLE","Temizle"
"FIF_TAG_CLETP","Seçimi temizle"
"FIF_ADD_TIT","Gruba Ekle"
"FIF_ADD_NUM","Seçilen varlıkların sayısı:"
"FIF_ADD_ADD","Seçili varlıklara mevcut bir etiket ekleyin:"
"FIF_ADD_CHTP","Bu mevcut etiketi ekle"
"FIF_ADD_TAG","Etiket:"
"FIF_ADD_ELBL","Yeni bir etiket girin veya mevcut bir etiketi seçin"
"FIF_REM_TIT","Grupta Kaldır"
"FIF_REM_REM","Seçili varlıklardan bir etiketi kaldır:"
"FIF_REM_CHTP","Bu etiketi kaldır"
"FIF_REM_ELBL","Bir etiket seçin"
"FIF_SE_EFI","Ekstra filtreler panelini göster"
"FIF_EF_AC","Varlık Oluşturucu"
"FIF_EF_BH","Bina Yüksekliği"
"FIF_EF_MET","metre"
"FIF_EF_FEE","adım"
"FIF_SET_ACLS","Varlık oluşturucu listesini alfabetik olarak sırala"
"FIF_GR_RAN","Rastgele Seçim"
"FIF_NET_SMR","Küçük Yollar"
"FIF_NET_MDR","Orta Yollar"
"FIF_NET_LGR","Büyük Yollar"
"FIF_NET_HGHW","Karayolları"
"FIF_NET_PATH","Patikalar"
"FIF_NET_WALL","Duvarlar ve Çitler"
"FIF_NET_WAT","Su Yapıları"
"FIF_PROP_MAR","Editör İşaretçileri"
"FIF_NET_TNR","Minik Yollar"
"FIF_NET_UTI","Hizmetler"
"FIF_NET_TRA","Tren"
"FIF_SET_PM","Oyun modunda işaretleyici tipi sahneleri göster"
"FIF_SET_PMTP","İşaretleyici tipi aksesuarlar görünmezdir ve çoğu oyun modunda çalışmaz. Bunları silmek için Move It kullanın."
"FIF_SET_IC","Her varlığın mevcut örneklerinin sayısını göster"
"FIF_EF_UN","Kullanılmayan Varlıklar"
"FIF_QM_TIT","Hızlı Menü"
"FIF_UIS_UN","Kullanımda Değil"
"FIF_UIS_IN","Kullanımda"
"FIF_SET_ICTP","Bu seçenek, arama hızını biraz yavaşlatır. Gerekmediğinde devre dışı bırakın"
"FIF_SET_PO","Prosedür Nesnelerini Dahil Et"
"FIF_SET_ICO","Orijinal sıralama seçeneğini kullan"
"FIF_SET_ICUS","Kullanılan varlıkları en üstte göster"
"FIF_SET_ICUN","Kullanılmayan varlıkları en üstte göster"
"FIF_TAG_BATTP","Grupta Düzenle"
"FIF_SE_SEBTP","Arama kutusunu temizle"
"FIF_SET_DB","Steam arayüzü yerine sistem tarayıcısını kullanın"
"FIF_SET_DBTP","Steam Atölyesinde görüntülemek için bir varlığın kapağındaki Steam simgesine sağ tıklayın"
"FIF_NET_ONE","Tek Yönlü Yollar"
"FIF_NET_PAR","Caddeye park etmeye izin ver"
"FIF_NET_NOP","Caddeye park ettirme"
"FIF_PROP_VEH","Kategorize edilmemiş araçlar"
"FIF_PROP_TRE","Ağaçlar"
"FIF_SET_BACK","Ana panel için açık renkli bir arka plan kullanın"
"FIF_SET_BACKTP","Daha karanlık varlıkları görmek daha kolay, ancak daha parlak varlıkları görmek daha zor"
"FIF_SET_DUN","Gelecekteki güncelleme bildirimini devre dışı bırak"
"FIF_PROP_MOT","Motorlu Taşıt"
"FIF_PROP_RAI","Demiryolu Aracı"
"FIF_PROP_AIR","Uçak"
"FIF_PROP_WAT","Deniz Taşıtları"
"FIF_EF_SB","Alt Yapılar"
"FIF_ATP_TP","Bu paneli sürükleyip taşımak için sağ tıklayın"
"FIF_SET_ATP","Varlık türü panelini göster"
"FIF_EF_CT","Özel Etiketli"
"FIF_EF_NCT","Özel Etiket Olmadan"
"FIF_UPN_UP","Güncelle"
"FIF_PROP_TC","Araziye Uygun"
"FIF_PROP_NTC","Araziye Uygun Olmayan"
"FIF_SET_SSK","Her varlık türü için ayrı arama sorgusu anahtar sözcüğü kullanın"
"FIF_SET_SSKTP","Anahtar kelimeleri geçici olarak paylaşmak için varlık türlerini değiştirirken SHIFT'e basın"
"FIF_TAG_SA","Tümünü Seç"
"FIF_TAG_SATP","Görüntülenen tüm öğeleri seç"
"FIF_EF_UNEXP","Tümünü Dışa Aktar"
"FIF_EF_UNEXPTP","Kullanılmayan tüm atölye kimliklerinin listesini atölye bağlantılarıyla birlikte bir HTML dosyasına aktarın"
"FIF_EF_UNEXPSE","Arananları Dışa Aktar"
"FIF_EF_UNEXPTPSE","Son aramadaki kullanılmayan atölye kimliklerinin listesini atölye bağlantılarıyla birlikte bir HTML dosyasına aktarın"
"FIF_EF_LC","Özel Yerel"
"FIF_EF_WC","Özel Atölye"
"FIF_EF_DLC","Gerekli DLC/CCP"
"FIF_LOC_TOOL","Seçili varlığın sonraki örneğini bulmak için tıklayın. SHIFT'i basılı tutun ve sonraki PO örneğini bulmak için tıklayın."
"FIF_REF_DIS","Ekranı yenile"
"FIF_EF_US","Kullanılan Varlıklar"
"FIF_EF_USEXPTP","Kullanılan tüm atölye kimliklerinin listesini atölye bağlantıları içeren bir HTML dosyasına aktarın"
"FIF_EF_USEXPTPSE","Son aramadan kullanılmış atölye kimliklerinin listesini atölye bağlantılarıyla birlikte bir HTML dosyasına aktarın"
"FIF_SE_SIZEX","Bina boyutu filtrelerini sıfırlamak için x'e tıklayın"
"FIF_SET_UIVP","Vanilla panellerinde Find It 2'nin ekstra kullanıcı arayüzünü devre dışı bırakın (yeniden başlatma gerekir)"
"FIF_SET_UIVPTP","Dahil edilen özel etiket simgeleri, Steam simgeleri, DLC simgeleri"
"FIF_DOU_MESH","Ağ Bilgisinde Görüntüle"
"FIF_DOU_MESHNO","Ağ Bilgi modu yüklenmemiş veya etkin değil"
"FIF_DOU_MESHTYPE","Ağ Bilgi modu yalnızca özel ağ dışı varlıkları destekler"
"FIF_DOU_MESHOPEN","Ağ Bilgi modunda bu varlığı görün"
"FIF_DOU_RICO","RICO'da tekrar ziyaret edin"
"FIF_DOU_RICONO","Yerleştirilebilir RICO modu yüklenmedi veya etkinleştirilmedi"
"FIF_DOU_RICOTYPE","Yerleştirilebilir RICO modu yalnızca bina varlıklarını destekler"
"FIF_DOU_RICOOPEN","Bu varlığı Yerleştirilebilir RICO modunda görün"
"FIF_DOU_FOLD","Dosya Klasörünü Aç"
"FIF_DOU_FOLDCUS","Bu özellik yalnızca özel varlıklarla çalışır"
"FIF_DOU_FOLDOPEN","Bu varlığın üst klasörünü açın"
"FIF_UIS_CNWS","Özel atölye dışı varlık"
"FIF_NET_BUS","Otobüs Yolları"
"FIF_NET_TRO","Troleybüs Yolları"
"FIF_NET_BIK","Bisiklet Yolları"
"FIF_NET_TRM","Tramvay Rayları"
"FIF_NET_MET","Metro"
"FIF_SET_REC","Son indirilenler sıralama yöntemi (yeniden başlatma gerekli)"
"FIF_SET_RECPC","Üst klasör oluşturma zamanı"
"FIF_SET_RECPM","Üst klasör değiştirme zamanı"
"FIF_SET_RECFC","CRP dosyası oluşturma zamanı"
"FIF_SET_RECFM","CRP dosyası değiştirme zamanı"
"FIF_SET_DIS","Anında metin aramayı devre dışı bırakın. Yeni bir metin araması göndermek için ENTER'a basın"
"FIF_SET_DISTP","Arama kutusuna yazarken kullanıcı arayüzü gecikmesini azaltmak için bu seçeneği kullanın"
"FIF_SET_STAB","Arama sekmelerini göster"
"FIF_STAB_NTAB","Yeni sekme"
"FIF_SET_DSK","Find It paneli kapatıldığında ikincil klavye kısayollarını devre dışı bırakın"
"FIF_SET_DSKTP","TM:PE ile çakışmalardan kaçının. Find It paneli kapatıldığında yalnızca ana klavye kısayolu çalışır durumda kalacaktır"
"FIF_SET_CFFL","Yapılandırma Dosyası Konumu"
"FIF_DOU_WS","Steam Atölye sayfası"
"FIF_DOU_WS_STEAM","Steam üzerinden"
"FIF_DOU_WS_BROWSER","varsayılan tarayıcı üzerinden"
"FIF_DOU_WS_NOID","Bu özellik yalnızca Steam Atölye Kimliklerine sahip özel varlıklarla çalışır"
"FIF_DOU_WS_STEAMTP","Steam yer paylaşımında Steam Atölyesi'nde bu varlığı görün"
"FIF_DOU_WS_BROWSERTP","Bu varlığı Steam Workshop'ta varsayılan tarayıcıda görün"
"FIF_SET_RES_PANEL","Kapatıldığında Find It panelini sıfırla"
"FIF_SET_RES_PANELTP","Paneli kapattığınızda Find It'deki tüm seçenekleri sıfırlayın"
"FIF_SE_ICONTP","Arama sonuçlarını dışa aktar"
"FIF_EXPORT_SEARCH","Bu, arama sonuçlarını bir HTML dosyasına aktarır"
"FIF_EF_DS","District Style"
"FIF_SET_CHA","Allow asset creators to hide dependency assets from search results"
"FIF_SET_CHATP","assets with creator_hidden in their description will be excluded from future search results"
"FIF_GR_RW2W","Residential Wall-to-Wall"
"FIF_GR_CW2W","Commercial Wall-to-Wall"
"FIF_GR_OW2W","Office Wall-to-Wall"
"FIF_NET_ZPATH","Zonable Paths"
"FIF_PLOP_SP","Service Points"
